수행시각,뽑기ID,아이템명,etc_json,뽑기횟수,뽑기확률(%),기대확률(%),오차(%)
2023-02-15 12:13,300008,파이어 데몬,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",115,0.0115,0.0135,14.8148
2023-02-15 12:13,300008,슈리엘,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",134,0.0134,0.0135,0.7407
2023-02-15 12:13,300008,네크로맨서,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",139,0.0139,0.0134,3.7313
2023-02-15 12:13,300008,쉐이드 웨폰,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",123,0.0123,0.0134,8.209
2023-02-15 12:13,300008,시아페,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",122,0.0122,0.0134,8.9552
2023-02-15 12:13,300008,골든 엠페러,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",116,0.0116,0.0134,13.4328
2023-02-15 12:13,300008,레이커,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",133,0.0133,0.0134,0.7463
2023-02-15 12:13,300008,타락한 엘프,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",121,0.0121,0.0134,9.7015
2023-02-15 12:13,300008,문라이트 네메시스,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",129,0.0129,0.0134,3.7313
2023-02-15 12:13,300008,가이아,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",149,0.0149,0.0134,11.194
2023-02-15 12:13,300008,골든 엠페러 아처,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",142,0.0142,0.0134,5.9701
2023-02-15 12:13,300008,타락한 엘프 아처,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",122,0.0122,0.0134,8.9552
2023-02-15 12:13,300008,스핀들 네메시스,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",131,0.0131,0.0134,2.2388
2023-02-15 12:13,300008,가이아 거너,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",145,0.0145,0.0134,8.209
2023-02-15 12:13,300008,차크람 소녀,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",139,0.0139,0.0134,3.7313
2023-02-15 12:13,300008,길가메쉬 나이트,"{""value"":{""DrawGroupNo"":10008,""Rarity"":2}}",128,0.0128,0.0134,4.4776
